timestamp,dbName,deadlocks
2023-07-22 16:58:59,postgres,0
2023-07-22 16:58:59,explorer,0
2023-07-22 16:58:59,template1,0
2023-07-22 16:58:59,template0,0
2023-07-22 16:59:09,postgres,0
2023-07-22 16:59:09,explorer,0
2023-07-22 16:59:09,template1,0
2023-07-22 16:59:09,template0,0
2023-07-22 16:59:19,postgres,0
2023-07-22 16:59:19,explorer,0
2023-07-22 16:59:19,template1,0
2023-07-22 16:59:19,template0,0
2023-07-22 16:59:29,postgres,0
2023-07-22 16:59:29,explorer,0
2023-07-22 16:59:29,template1,0
2023-07-22 16:59:29,template0,0
2023-07-22 16:59:39,postgres,0
2023-07-22 16:59:39,explorer,0
2023-07-22 16:59:39,template1,0
2023-07-22 16:59:39,template0,0
2023-07-22 16:59:49,postgres,0
2023-07-22 16:59:49,explorer,0
2023-07-22 16:59:49,template1,0
2023-07-22 16:59:49,template0,0
2023-07-22 16:59:59,postgres,0
2023-07-22 16:59:59,explorer,0
2023-07-22 16:59:59,template1,0
2023-07-22 16:59:59,template0,0
2023-07-22 17:00:09,postgres,0
2023-07-22 17:00:09,explorer,0
2023-07-22 17:00:09,template1,0
2023-07-22 17:00:09,template0,0
2023-07-22 17:00:19,postgres,0
2023-07-22 17:00:19,explorer,0
2023-07-22 17:00:19,template1,0
2023-07-22 17:00:19,template0,0
2023-07-22 17:00:29,postgres,0
2023-07-22 17:00:29,explorer,0
2023-07-22 17:00:29,template1,0
2023-07-22 17:00:29,template0,0
2023-07-22 17:00:39,postgres,0
2023-07-22 17:00:39,explorer,0
2023-07-22 17:00:39,template1,0
2023-07-22 17:00:39,template0,0
2023-07-22 17:00:49,postgres,0
2023-07-22 17:00:49,explorer,0
2023-07-22 17:00:49,template1,0
2023-07-22 17:00:49,template0,0
2023-07-22 17:00:59,postgres,0
2023-07-22 17:00:59,explorer,0
2023-07-22 17:00:59,template1,0
2023-07-22 17:00:59,template0,0
2023-07-22 17:01:09,postgres,0
2023-07-22 17:01:09,explorer,0
2023-07-22 17:01:09,template1,0
2023-07-22 17:01:09,template0,0
2023-07-22 17:01:19,postgres,0
2023-07-22 17:01:19,explorer,0
2023-07-22 17:01:19,template1,0
2023-07-22 17:01:19,template0,0
2023-07-22 17:01:29,postgres,0
2023-07-22 17:01:29,explorer,0
2023-07-22 17:01:29,template1,0
