timestamp,dbName,hit,read
2023-07-22 16:58:59,postgres,0,0
2023-07-22 16:58:59,explorer,26055683,32637
2023-07-22 16:58:59,template1,8343,104
2023-07-22 16:58:59,template0,0,0
2023-07-22 16:59:09,postgres,0,0
2023-07-22 16:59:09,explorer,26057037,32724
2023-07-22 16:59:09,template1,8343,104
2023-07-22 16:59:09,template0,0,0
2023-07-22 16:59:19,postgres,0,0
2023-07-22 16:59:19,explorer,26057071,32724
2023-07-22 16:59:19,template1,8343,104
2023-07-22 16:59:19,template0,0,0
2023-07-22 16:59:29,postgres,0,0
2023-07-22 16:59:29,explorer,26057105,32724
2023-07-22 16:59:29,template1,8343,104
2023-07-22 16:59:29,template0,0,0
2023-07-22 16:59:39,postgres,0,0
2023-07-22 16:59:39,explorer,26057139,32724
2023-07-22 16:59:39,template1,8416,104
2023-07-22 16:59:39,template0,0,0
2023-07-22 16:59:49,postgres,0,0
2023-07-22 16:59:49,explorer,26057173,32724
2023-07-22 16:59:49,template1,8416,104
2023-07-22 16:59:49,template0,0,0
2023-07-22 16:59:59,postgres,0,0
2023-07-22 16:59:59,explorer,26057207,32724
2023-07-22 16:59:59,template1,8416,104
2023-07-22 16:59:59,template0,0,0
2023-07-22 17:00:09,postgres,0,0
2023-07-22 17:00:09,explorer,26057314,32724
2023-07-22 17:00:09,template1,8416,104
2023-07-22 17:00:09,template0,0,0
2023-07-22 17:00:19,postgres,0,0
2023-07-22 17:00:19,explorer,26057814,32724
2023-07-22 17:00:19,template1,8416,104
2023-07-22 17:00:19,template0,0,0
2023-07-22 17:00:29,postgres,0,0
2023-07-22 17:00:29,explorer,26057884,32724
2023-07-22 17:00:29,template1,8416,104
2023-07-22 17:00:29,template0,0,0
2023-07-22 17:00:39,postgres,0,0
2023-07-22 17:00:39,explorer,26057918,32724
2023-07-22 17:00:39,template1,8489,104
2023-07-22 17:00:39,template0,0,0
2023-07-22 17:00:49,postgres,0,0
2023-07-22 17:00:49,explorer,26057952,32724
2023-07-22 17:00:49,template1,8489,104
2023-07-22 17:00:49,template0,0,0
2023-07-22 17:00:59,postgres,0,0
2023-07-22 17:00:59,explorer,26057986,32724
2023-07-22 17:00:59,template1,8489,104
2023-07-22 17:00:59,template0,0,0
2023-07-22 17:01:09,postgres,0,0
2023-07-22 17:01:09,explorer,26058093,32724
2023-07-22 17:01:09,template1,8489,104
2023-07-22 17:01:09,template0,0,0
2023-07-22 17:01:19,postgres,0,0
2023-07-22 17:01:19,explorer,26058127,32724
2023-07-22 17:01:19,template1,8489,104
2023-07-22 17:01:19,template0,0,0
2023-07-22 17:01:29,postgres,0,0
2023-07-22 17:01:29,explorer,26058161,32724
2023-07-22 17:01:29,template1,8489,104
2023-07-22 17:01:29,template0,0,0
2023-07-22 17:01:39,postgres,0,0
2023-07-22 17:01:39,explorer,26058195,32724
2023-07-22 17:01:39,template1,8562,104
2023-07-22 17:01:39,template0,0,0
